Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Chromosome/scaffold name	Mouse gene stable ID	Mouse chromosome/scaffold name	Mouse chromosome/scaffold start (bp)	Mouse chromosome/scaffold end (bp)	Mouse gene name
ENSG00000305511	97136	122360		GL000220.1					
ENSG00000306721	39426	124849		GL000009.2					
ENSG00000277428	37434	37534	Y_RNA	GL000195.1					
ENSG00000276256	42939	49164		GL000195.1					
ENSG00000278793	127840	127946	U6	GL000213.1					
ENSG00000305525	103657	104499		GL000220.1					
ENSG00000298861	1096	26029		GL000213.1					
ENSG00000295668	110909	121354		GL000195.1					
ENSG00000303750	31434	32450		KI270711.1					
ENSG00000303853	2579	87094		GL000195.1					
ENSG00000278817	131494	137392		KI270734.1	ENSMUSG00000003531	16	17870724	17889496	Dgcr6
ENSG00000276017	72411	74814		KI270734.1					
ENSG00000297072	12391	52469		KI270734.1					
ENSG00000297558	36013	74415		KI270731.1					
ENSG00000298095	102687	108748		KI270731.1					
ENSG00000308643	84392	86381		GL000213.1					
ENSG00000301131	90950	98156		KI270734.1					
ENSG00000303733	77655	81153		KI270734.1					
ENSG00000305236	83271	85531		KI270734.1					
ENSG00000309233	109600	110784		KI270734.1					
ENSG00000300074	424	6215		KI270744.1					
ENSG00000298793	10561	28352		GL000194.1					
ENSG00000300093	65348	66807		KI270744.1					
ENSG00000303588	90796	102080		KI270731.1					
ENSG00000300846	142831	150130		KI270744.1					
ENSG00000307470	124346	140980		KI270744.1					
ENSG00000308966	867	7220		KI270731.1					
ENSG00000306938	145900	156852		GL000194.1					
ENSG00000301573	29592	38652		KI270745.1					
ENSG00000309079	13145	14830		KI270731.1					
ENSG00000307061	68204	204482		KI270743.1					
ENSG00000295063	102473	119953		GL000224.1					
ENSG00000301587	31023	38297		KI270745.1					
ENSG00000309229	30534	33767		GL000224.1					
ENSG00000310277	67572	97360		GL000224.1					
ENSG00000303173	30345	106038		GL000214.1					
ENSG00000303875	20094	34804		GL000195.1					
ENSG00000303892	86829	96438		GL000195.1					
ENSG00000307077	183290	208327		KI270743.1					
ENSG00000303912	49759	50747		GL000195.1					
ENSG00000275661	52895	53010		KI270721.1					
ENSG00000310347	6600	8034		KI270743.1					
ENSG00000276351	52666	52734		KI270721.1	ENSMUSG00002075214	7	142131586	142131655	Gm56421
ENSG00000308185	137841	179381		GL000195.1					
ENSG00000276345	2585	11802		KI270721.1	ENSMUSG00000037772	7	142086423	142094484	Mrpl23
ENSG00000306744	82837	122979		GL000009.2					
ENSG00000277374	148668	148843	U1	KI270750.1	ENSMUSG00002075206	2	126476459	126476607	Gm56297
ENSG00000306767	43294	56215		GL000009.2					
ENSG00000273532	51722	51792		KI270721.1	ENSMUSG00002076121	7	142130590	142130660	Gm56420
ENSG00000303573	33474	63757		KI270750.1					
ENSG00000294171	50348	56529		KI270721.1					
ENSG00000308844	184591	186420		GL000009.2					
ENSG00000309296	19028	33270		KI270750.1					
ENSG00000293753	27487	37302		KI270749.1					
ENSG00000299010	107947	130418		KI270749.1					
ENSG00000309338	68953	85760		KI270748.1					
ENSG00000276932	93050	93150	Y_RNA	GL000205.2					
ENSG00000302801	163302	168527		GL000205.2					
ENSG00000309357	84835	92032		KI270748.1					
ENSG00000302039	3633	31375		KI270720.1					
ENSG00000306402	145	110027		KI270742.1					
ENSG00000307088	7529	145168		GL000205.2					
ENSG00000294191	50354	53034		KI270721.1					
ENSG00000304792	79376	121702		GL000221.1					
ENSG00000304816	15013	48413		GL000221.1					
ENSG00000309831	6913	19848		KI270718.1					
ENSG00000274202	93197	93309	U2	GL000216.2	ENSMUSG00000088402	14	55921291	55921374	Gm25887
ENSG00000299852	38384	45185		KI270721.1					
ENSG00000303221	31951	113403		GL000214.1					
ENSG00000304845	1758	15408		GL000221.1					
ENSG00000299870	42290	48858		KI270721.1					
ENSG00000300815	2865	9624		KI270714.1					
ENSG00000304057	16293	23109		KI270714.1					
ENSG00000275987	30437	30580	U1	KI270713.1	ENSMUSG00000065374	14	58068520	58068666	Gm22738
ENSG00000275987	30437	30580	U1	KI270713.1	ENSMUSG00000089549	14	98205265	98205427	Gm25831
ENSG00000268674	35407	35916		KI270713.1					
ENSG00000277475	31698	32528		KI270713.1					
ENSG00000275405	21861	22024	U1	KI270713.1					
ENSG00000298139	13389	25193		KI270713.1					
ENSG00000299885	37703	41250		KI270721.1					
ENSG00000293919	1297	141320		KI270706.1					
ENSG00000298153	11685	22304		KI270713.1					
ENSG00000275063	41444	41876		KI270726.1					
ENSG00000298169	4168	7142		KI270713.1					
ENSG00000277856	26241	26534		KI270726.1					
ENSG00000307722	15119	17798		KI270717.1					
ENSG00000298751	3639	14314		KI270726.1					
ENSG00000310401	24947	37269		KI270717.1					
ENSG00000298769	4771	5305		KI270726.1					
ENSG00000301091	1977	3628		KI270726.1					
ENSG00000298181	30269	31218		KI270713.1					
ENSG00000303154	14338	15728		KI270726.1					
ENSG00000276711	183252	183364	U2	GL000225.1	ENSMUSG00000088402	14	55921291	55921374	Gm25887
ENSG00000302961	170773	206442		GL000225.1					
ENSG00000309258	26350	27723		KI270755.1					
ENSG00000293939	945	84493		KI270706.1					
ENSG00000293969	92483	154996		KI270706.1					
ENSG00000297844	43135	44491		KI270753.1					
ENSG00000278384	51867	54893		GL000218.1					
ENSG00000301761	6104	97659		GL000218.1					
ENSG00000296732	83332	200303		GL000008.2					
ENSG00000273748	54224	83311		GL000219.1	ENSMUSG00000031590	8	41850496	41870111	Frg1
ENSG00000296581	24806	74054		GL000219.1					
ENSG00000296598	99846	142363		GL000219.1					
ENSG00000296618	83631	99678		GL000219.1					
ENSG00000307122	75988	100753		GL000205.2					
ENSG00000307143	44576	61804		GL000205.2					
ENSG00000307166	75648	85014		GL000205.2					
ENSG00000296634	40416	42250		GL000219.1					
ENSG00000296756	177110	208612		GL000008.2					
ENSG00000309793	24966	30774		KI270710.1					
ENSG00000274175	17234	19833		KI270728.1					
ENSG00000273554	1139577	1147868		KI270728.1	ENSMUSG00000019558	X	72716756	72726108	Slc6a8
ENSG00000275869	933862	936467		KI270728.1					
ENSG00000278510	1109945	1110235		KI270728.1					
ENSG00000273843	137798	139135		KI270728.1					
ENSG00000301787	20195	42620		GL000218.1					
ENSG00000277836	1270984	1271271		KI270728.1					
ENSG00000294926	1336066	1345136		KI270728.1					
ENSG00000295260	1119967	1135676		KI270728.1					
ENSG00000296775	152369	170429		GL000008.2					
ENSG00000295285	1129654	1130626		KI270728.1					
ENSG00000295455	1417809	1420347		KI270728.1					
ENSG00000295648	1147280	1150718		KI270728.1					
ENSG00000296644	1687458	1697392		KI270728.1					
ENSG00000296798	1001617	1008200		KI270728.1					
ENSG00000297394	91382	140858		KI270728.1					
ENSG00000297936	1420430	1451338		KI270728.1					
ENSG00000300662	169379	175868		KI270728.1					
ENSG00000301410	1753176	1755007		KI270728.1					
ENSG00000303548	26814	29237		KI270728.1					
ENSG00000303746	156823	161005		KI270728.1					
ENSG00000288175	11715	24443	SYT15B	HG1277_PATCH					
ENSG00000304032	207250	228256		KI270728.1					
ENSG00000304964	1535211	1555445		KI270728.1					
ENSG00000288244	126346	210159		HG1277_PATCH					
ENSG00000276312	167218	167307		KI270733.1					
ENSG00000276700	128877	129029	RNA5-8SN4	KI270733.1					
ENSG00000275757	173956	174108	5_8S_rRNA	KI270733.1					
ENSG00000305027	1842094	1855268		KI270728.1					
ENSG00000273739	122136	122225		KI270733.1					
ENSG00000298142	26722	28038		KI270733.1					
ENSG00000305713	859541	862006		KI270728.1					
ENSG00000301406	12396	13988		KI270733.1					
ENSG00000288372	46660	71371		HG1309_PATCH					
ENSG00000307206	21341	24234		KI270733.1					
ENSG00000306124	925424	926749		KI270728.1					
ENSG00000288288	52726	56866		HG1309_PATCH					
ENSG00000288157	137021	141806	NPY4R2	HG1277_PATCH					
ENSG00000307249	891249	911016		KI270728.1					
ENSG00000310376	113837	140657		KI270733.1					
ENSG00000288129	90874	107722		HG1309_PATCH					
ENSG00000308567	1796109	1817103		KI270728.1					
ENSG00000288472	111541	125215	LINC03015	HG1309_PATCH					
ENSG00000310392	120506	121345		KI270733.1					
ENSG00000288304	188325	191778		HG1277_PATCH					
ENSG00000288481	213604	218073	FAM25C	HG1277_PATCH					
ENSG00000288424	228155	249881	AGAP12P	HG1277_PATCH					
ENSG00000309335	956892	958766		KI270728.1					
ENSG00000310156	1863098	1872048		KI270728.1					
ENSG00000288417	125237	131153	LINC03014	HG1309_PATCH					
ENSG00000290627	228414	249922	AGAP12P	HG1277_PATCH					
ENSG00000288201	258744	258859	RNA5SP315	HG1277_PATCH					
ENSG00000288196	268564	278298	BMS1P7	HG1277_PATCH					
ENSG00000288502	137453	140660		HG1309_PATCH					
ENSG00000288457	51131	53245		HG1277_PATCH					
ENSG00000288311	150608	151701		HG1309_PATCH					
ENSG00000288449	158623	169868		HG1309_PATCH					
ENSG00000288499	168259	235989	FAM20C	HG1309_PATCH					
ENSG00000288159	203242	205245		HG1309_PATCH					
ENSG00000288431	238026	238462		HG1309_PATCH					
ENSG00000306474	14337	108409		KI270742.1					
ENSG00000306526	109545	151793		KI270742.1					
ENSG00000282162	4199	4672	LINC01784	HG1342_HG2282_PATCH					
ENSG00000281934	6118	12923	PRAMEF11	HG1342_HG2282_PATCH					
ENSG00000288260	32845	52502		HG1395_PATCH					
ENSG00000288430	38436	38546	RNU5B-4P	HG1395_PATCH					
ENSG00000288297	39089	52538	ECSCR	HG1395_PATCH					
ENSG00000282116	19638	22870	PRAMEF30P	HG1342_HG2282_PATCH					
ENSG00000282175	28921	30238	HNRNPCL1	HG1342_HG2282_PATCH					
ENSG00000282817	38599	43422	PRAMEF2	HG1342_HG2282_PATCH					
ENSG00000288274	60573	64567	SMIM33	HG1395_PATCH					
ENSG00000282584	60725	67714	PRAMEF4	HG1342_HG2282_PATCH					
ENSG00000288243	65328	72730	STING1	HG1395_PATCH					
ENSG00000282663	74409	79783	PRAMEF10	HG1342_HG2282_PATCH					
ENSG00000279195	98123	101995	PRAMEF7	HG1342_HG2282_PATCH					
ENSG00000282338	104067	104173	RNU6-1072P	HG1342_HG2282_PATCH					
ENSG00000282549	107675	109766	PRAMEF29P	HG1342_HG2282_PATCH					
ENSG00000282119	119985	129093	PRAMEF6	HG1342_HG2282_PATCH					
ENSG00000282791	183679	186470	PRAMEF28P	HG1342_HG2282_PATCH					
ENSG00000282437	203816	210831	PRAMEF27	HG1342_HG2282_PATCH					
ENSG00000291381	1991	16789	ARHGEF19	HG1343_HG173_HG459_PATCH					
ENSG00000282559	215209	216569	HNRNPCL3	HG1342_HG2282_PATCH					
ENSG00000291405	20044	21562		HG1343_HG173_HG459_PATCH					
ENSG00000282566	223017	232224	PRAMEF25	HG1342_HG2282_PATCH					
ENSG00000291404	20606	32164	ANO7L1	HG1343_HG173_HG459_PATCH					
ENSG00000291376	32811	35472		HG1343_HG173_HG459_PATCH					
ENSG00000291382	35829	41320	CPLANE2	HG1343_HG173_HG459_PATCH					
ENSG00000291377	45350	45535	MT1XP1	HG1343_HG173_HG459_PATCH					
ENSG00000291375	50977	156623	FBXO42	HG1343_HG173_HG459_PATCH					
ENSG00000282258	249519	252311	PRAMEF34P	HG1342_HG2282_PATCH					
ENSG00000291379	156718	202286	SZRD1	HG1343_HG173_HG459_PATCH					
ENSG00000282562	258743	260029	PRAMEF35P	HG1342_HG2282_PATCH					
ENSG00000288388	82333	82900		HG1395_PATCH					
ENSG00000288138	84051	85911	NCOA4P4	HG1395_PATCH					
ENSG00000282530	269828	271194	HNRNPCL2	HG1342_HG2282_PATCH					
ENSG00000282468	283158	285955	PRAMEF36P	HG1342_HG2282_PATCH					
ENSG00000291374	173285	173665	RPL22P3	HG1343_HG173_HG459_PATCH					
ENSG00000290624	284133	285749		HG1342_HG2282_PATCH					
ENSG00000291401	191257	241687	SPATA21	HG1343_HG173_HG459_PATCH					
ENSG00000282341	301321	301800		HG1342_HG2282_PATCH					
ENSG00000281987	303245	310301	PRAMEF26	HG1342_HG2282_PATCH					
ENSG00000282095	318926	319807	HNRNPCL4	HG1342_HG2282_PATCH					
ENSG00000291380	244986	264343	NECAP2	HG1343_HG173_HG459_PATCH					
ENSG00000282298	326795	333804	PRAMEF9	HG1342_HG2282_PATCH					
ENSG00000282741	350528	355749	PRAMEF13	HG1342_HG2282_PATCH					
ENSG00000282212	377045	380446	PRAMEF18	HG1342_HG2282_PATCH					
ENSG00000282289	400203	402992	PRAMEF31P	HG1342_HG2282_PATCH					
ENSG00000291388	265213	272746	LINC01772	HG1343_HG173_HG459_PATCH					
ENSG00000282424	408552	417654	PRAMEF5	HG1342_HG2282_PATCH					
ENSG00000291402	278663	295576	CROCCP3	HG1343_HG173_HG459_PATCH					
ENSG00000291389	318424	318587	RNU1-1	HG1343_HG173_HG459_PATCH					
ENSG00000291390	319335	326095		HG1343_HG173_HG459_PATCH					
ENSG00000291391	324997	326103		HG1343_HG173_HG459_PATCH					
ENSG00000291392	338197	339960	LINC01783	HG1343_HG173_HG459_PATCH					
ENSG00000291393	338392	338535	RNU1-6P	HG1343_HG173_HG459_PATCH					
ENSG00000291394	352956	356848	PDE4DIPP8	HG1343_HG173_HG459_PATCH					
ENSG00000291386	483403	483840		HG1343_HG173_HG459_PATCH					
ENSG00000282216	427879	429967	PRAMEF32P	HG1342_HG2282_PATCH					
ENSG00000282288	433465	433571	RNU6-771P	HG1342_HG2282_PATCH					
ENSG00000291385	492015	492178	RNU1-2	HG1343_HG173_HG459_PATCH					
ENSG00000282583	435375	439514	PRAMEF8	HG1342_HG2282_PATCH					
ENSG00000291408	498429	500577		HG1343_HG173_HG459_PATCH					
ENSG00000291384	498552	499059		HG1343_HG173_HG459_PATCH					
ENSG00000291400	504496	517221	LINC03126	HG1343_HG173_HG459_PATCH					
ENSG00000282125	457879	463247	PRAMEF33	HG1342_HG2282_PATCH					
ENSG00000293551	157184	159964	PRAMEF22	HG1342_HG2282_PATCH					
ENSG00000291383	514315	514458	RNU1-5P	HG1343_HG173_HG459_PATCH					
ENSG00000291395	676471	676813		HG1343_HG173_HG459_PATCH					
ENSG00000291397	847890	855569		HG1343_HG173_HG459_PATCH					
ENSG00000291398	850592	851026	EIF1AXP1	HG1343_HG173_HG459_PATCH					
ENSG00000291396	869713	869876	RNU1-3	HG1343_HG173_HG459_PATCH					
ENSG00000291399	957786	957949	RNU1-4	HG1343_HG173_HG459_PATCH					
ENSG00000291387	1481961	1534651	PADI2	HG1343_HG173_HG459_PATCH					
ENSG00000292230	652677	779104		HG1343_HG173_HG459_PATCH					
ENSG00000291403	879420	1005754	CROCCP4	HG1343_HG173_HG459_PATCH					
ENSG00000292231	1178785	1193160		HG1343_HG173_HG459_PATCH					
ENSG00000291407	561254	566210		HG1343_HG173_HG459_PATCH					
ENSG00000292235	564764	571773		HG1343_HG173_HG459_PATCH					
ENSG00000292236	567488	567922		HG1343_HG173_HG459_PATCH					
ENSG00000292238	679318	683976		HG1343_HG173_HG459_PATCH					
ENSG00000292239	767483	772149		HG1343_HG173_HG459_PATCH					
ENSG00000292240	886318	891041		HG1343_HG173_HG459_PATCH					
ENSG00000292241	974464	979128		HG1343_HG173_HG459_PATCH					
ENSG00000292242	1161819	1166487		HG1343_HG173_HG459_PATCH					
ENSG00000292229	434287	466213		HG1343_HG173_HG459_PATCH					
ENSG00000292226	366657	428849		HG1343_HG173_HG459_PATCH					
ENSG00000292228	1011165	1078120		HG1343_HG173_HG459_PATCH					
ENSG00000281819	15874	16374	NAA50P1	HG142_HG150_NOVEL_TEST					
ENSG00000292227	585030	647269		HG1343_HG173_HG459_PATCH					
ENSG00000263150	21622	22569	OR8J2	HG142_HG150_NOVEL_TEST					
ENSG00000262851	42855	43934	OR5T2	HG142_HG150_NOVEL_TEST					
ENSG00000261897	62949	63971	OR5T3	HG142_HG150_NOVEL_TEST					
ENSG00000262784	86388	87368	OR5T1	HG142_HG150_NOVEL_TEST					
ENSG00000292225	1198562	1260797	NBPF1	HG1343_HG173_HG459_PATCH					
ENSG00000262611	100802	101839	OR8H1	HG142_HG150_NOVEL_TEST					
ENSG00000280712	107290	108220	OR8I1P	HG142_HG150_NOVEL_TEST					
ENSG00000262755	129056	129994	OR8K3	HG142_HG150_NOVEL_TEST					
ENSG00000281773	142096	143237	FAM8A2P	HG142_HG150_NOVEL_TEST					
ENSG00000280617	145891	146817	OR8K2P	HG142_HG150_NOVEL_TEST					
ENSG00000263328	156788	157747	OR8K1	HG142_HG150_NOVEL_TEST					
ENSG00000281820	168077	168970	RPL5P29	HG142_HG150_NOVEL_TEST					
ENSG00000262796	170964	172037	OR8J1	HG142_HG150_NOVEL_TEST					
ENSG00000262315	186374	187333	OR8U8	HG142_HG150_NOVEL_TEST					
ENSG00000281038	193979	194908	OR8U9	HG142_HG150_NOVEL_TEST					
ENSG00000280577	199990	200944	OR8L1P	HG142_HG150_NOVEL_TEST					
ENSG00000291410	16910	28852		HG1369_PATCH					
ENSG00000291411	42053	42404		HG1369_PATCH					
ENSG00000291412	42764	44957		HG1369_PATCH					
ENSG00000291413	50247	51782		HG1369_PATCH					
ENSG00000291414	55354	55416	MIR4740	HG1369_PATCH					
ENSG00000291415	107309	107393	MIR3186	HG1369_PATCH					
ENSG00000291416	117218	118142		HG1369_PATCH					
ENSG00000291417	136728	137775	LINC01971	HG1369_PATCH					
ENSG00000291418	170252	183981		HG1369_PATCH					
ENSG00000291420	165618	180052	ACTG1	HG1369_PATCH					
ENSG00000291421	50095	122536	BAHCC1	HG1369_PATCH					
ENSG00000291422	137857	138948		HG1369_PATCH					
ENSG00000291423	171267	172617		HG1369_PATCH					
ENSG00000291424	46943	48002		HG1369_PATCH					
ENSG00000291425	29782	40102	LINC03048	HG1369_PATCH					
ENSG00000288319	7682	21171		HG1485_PATCH					
ENSG00000288521	16980	17085	U6	HG1485_PATCH					
ENSG00000288394	359700	362893	ABCD1P4	HG1485_PATCH					
ENSG00000288228	377336	377423		HG1485_PATCH					
ENSG00000288342	395949	398037	PABPC1P9	HG1485_PATCH					
ENSG00000288315	400953	448876	SLC9B1P4	HG1485_PATCH					
ENSG00000288272	458991	460328	ACTR3BP6	HG1485_PATCH					
ENSG00000281449	18842	180082	BCL2L14	HG1362_PATCH					
ENSG00000281442	80161	80487	PTMAP9	HG1362_PATCH					
ENSG00000283344	80950	81034	MIR1244-4	HG1362_PATCH					
ENSG00000281324	85023	236042	LRP6	HG1362_PATCH					
ENSG00000290500	119918	138264		HG151_NOVEL_TEST					
ENSG00000261958	7154	8071	OR9G1	HG151_NOVEL_TEST					
ENSG00000262191	18234	19151	OR9G9	HG151_NOVEL_TEST					
ENSG00000281683	54158	54304		HG151_NOVEL_TEST					
ENSG00000262268	58021	58938	OR9G3P	HG151_NOVEL_TEST					
ENSG00000262647	60669	61653	OR9G4	HG151_NOVEL_TEST					
ENSG00000281777	68865	69744	OR9G2P	HG151_NOVEL_TEST					
ENSG00000281313	93103	94048	OR5G1P	HG151_NOVEL_TEST					
ENSG00000281279	108048	108807	OR5G4P	HG151_NOVEL_TEST					
ENSG00000262535	119698	120636	OR5G5P	HG151_NOVEL_TEST					
ENSG00000281107	137423	138358	OR5G3	HG151_NOVEL_TEST					
ENSG00000281839	166410	189093	LINC02735	HG151_NOVEL_TEST					
ENSG00000280475	124260	124770	RPL21P100	HG1362_PATCH					
ENSG00000206783	195672	195775	RNU6-545P	HG1362_PATCH					
ENSG00000281874	217989	218425		HG1362_PATCH					
ENSG00000207477	258225	258327	RNU6-318P	HG1362_PATCH					
ENSG00000281818	295054	319240	MANSC1	HG1362_PATCH					
ENSG00000281051	307774	308252	RPL23AP66	HG1362_PATCH					
ENSG00000281234	324404	326065	LOH12CR2	HG1362_PATCH					
ENSG00000280689	326076	440236	BORCS5	HG1362_PATCH					
ENSG00000281168	421106	421484		HG1362_PATCH					
ENSG00000280962	442285	531866	DUSP16	HG1362_PATCH					
ENSG00000281671	454356	460584		HG1362_PATCH					
ENSG00000281525	537204	537779		HG1362_PATCH					
ENSG00000288406	45607	45750		HG1384_PATCH					
ENSG00000291426	8637	43920	TOLLIP	HG152_PATCH					
ENSG00000288135	97753	109757		HG1445_PATCH					
ENSG00000288322	109421	145794		HG1445_PATCH					
ENSG00000288356	146238	163482		HG1445_PATCH					
ENSG00000288117	147642	147752	Y_RNA	HG1445_PATCH					
ENSG00000291427	44035	44973	TOLLIP-DT	HG152_PATCH					
ENSG00000291429	67516	71334		HG152_PATCH					
ENSG00000291430	84625	98552	LINC02689	HG152_PATCH					
ENSG00000291428	124165	196955	BRSK2	HG152_PATCH					
ENSG00000291441	198848	201898		HG152_PATCH					
ENSG00000291431	294027	312247	DUSP8	HG152_PATCH					
ENSG00000291432	311329	339160	KRTAP5-AS1	HG152_PATCH					
ENSG00000291433	324318	325259	KRTAP5-1	HG152_PATCH					
ENSG00000291434	337153	338270	KRTAP5-2	HG152_PATCH					
ENSG00000291435	347541	348439	KRTAP5-3	HG152_PATCH					
ENSG00000291440	360934	362114	KRTAP5-4	HG152_PATCH					
ENSG00000291443	369751	370906	KRTAP5-5	HG152_PATCH					
ENSG00000291436	402560	403319		HG152_PATCH					
ENSG00000291437	405573	407832	FAM99A	HG152_PATCH					
ENSG00000291438	423245	425605	FAM99B	HG152_PATCH					
ENSG00000291439	428273	429032	LINC02708	HG152_PATCH					
ENSG00000291442	203723	274455	MOB2	HG152_PATCH					
ENSG00000292327	333933	386955	PPP2R3B	Y					
ENSG00000292328	1008503	1010101	RPL14P5	Y					
ENSG00000292329	253743	255091		Y					
ENSG00000292332	1336616	1382689	IL3RA	Y					
ENSG00000292333	1462581	1537185	P2RY8	Y					
ENSG00000292334	1386152	1392113	SLC25A6	Y					
ENSG00000292337	2334295	2336410	DHRSX-IT1	Y					
ENSG00000292338	2219506	2502805	DHRSX	Y					
ENSG00000292339	1403139	1453762	ASMTL	Y					
ENSG00000292342	320990	321851	LINC00685	Y					
ENSG00000292344	276322	303356	PLCXD1	Y					
ENSG00000292345	2486414	2500976	ZBED1	Y					
ENSG00000292346	2609191	2609254	MIR6089	Y					
ENSG00000292347	2612988	2615347	LINC00102	Y					
ENSG00000292348	2691187	2741309	CD99	Y					
ENSG00000292350	388100	388389	Metazoa_SRP	Y					
ENSG00000292352	523775	524102	FABP5P13	Y					
ENSG00000292353	545236	545352	KRT18P53	Y					
ENSG00000292354	624344	659411	SHOX	Y					
ENSG00000292355	1293918	1293992	MIR3690	Y					
ENSG00000292356	1300256	1300375	RNA5SP498	Y					
ENSG00000292361	2609415	2623453	CD99P1	Y					
ENSG00000292363	1190490	1212723	CRLF2	Y					
ENSG00000292343	1591604	1602520	AKAP17A	Y					
ENSG00000292336	1615059	1643081	ASMT	Y					
ENSG00000292330	1767347	1768776		Y					
